from,to,positive,neutral,negative
,Xi Ruoyao,[],"[{'message': ""I think what happened then is: the forks got suspended, but there were a few mirrors of the xz repo, which didn't get suspended."", 'score': -0.030011766590178013, 'timestamp': '2024-04-14T19:05:21Z', 'file_name': 'pr_86.csv'}]",[]
Xi Ruoyao,,[],"[{'message': ""In the meantime I'm having an eye on https://gcc.gnu.org/pipermail/gcc-patches/2024-May/652612.html.  If it's landed it'd be better to use the generic built-in instead of target-specific intrinsic."", 'score': 0.03758898191154003, 'timestamp': '2024-05-26T11:15:10Z', 'file_name': 'pr_86.csv'}]",[]
Jia Tan,,"[{'message': 'Omitting assembly from x86-32 is certainly much simpler than trying to adapt for it. Thanks for the PR! This is merged in master as e9053c907250c70d98b319d95fa54cb94fc76869. ', 'score': 0.6583510804921389, 'timestamp': '2024-02-17T14:31:22Z', 'file_name': 'pr_80.csv'}]",[],[]
Jia Tan,,"[{'message': 'Hi! Thanks again for the very detailed PR. I looked more into wasm signal support since at first I thought it was some sort of bug that the signal emulation did not define `sigset_t` or `sigprocmask()`. This seems intentional however so your PR is certainly needed for a successful port to web assembly.\n\nWhat you have so far seems like it is enough for liblzma to build, but we also should support an xz port. This should be easy to add just by following the example of VMS in src/xz/signal.*. Since the only functions in xz that use `mythread_sigmask()` it should be enough to define signals_block() and signals_unblock() as no-ops in signal.h (and remove implementation from signal.c).\n\nLet me know if you have questions or if something else is preventing us from building xz with wasi-sdk', 'score': 0.8370748800225556, 'timestamp': '2023-07-27T13:03:32Z', 'file_name': 'pr_57.csv'}]","[{'message': 'Thanks for the updated error message. Can I ask more about your build environment? The `<signal.h>` header file should provide definitions for `sigset_t` and `sigprocmask()` in a POSIX compliant system and the preprocessor should filter out Windows builds that do not set the `__CYGWIN__` macro.\n\nThe reason I want to avoid removing `#include ""mythread.h""` from `common.h` is\n1. Avoid breaking something unexpectedly\n2. It allows referencing `MYTHREAD_ENABLED` just by including `common.h`. Our `common.h` header files includes `config.h` (when building with autotools) and that contains all of the configurations. So it makes the liblzma files simpler since they only need to include `common.h` to get all configurations.\n\nUsually only including the header files you actually need is a good idea. In this case, there are few other files that would need to include `mythread.h` for it to work. But I would like to avoid this if possible.', 'score': -0.04872218705713749, 'timestamp': '2023-07-26T14:47:44Z', 'file_name': 'pr_56.csv'}]","[{'message': 'On second thought, will be more complicated that I initially thought since `signals_init()` needs to be disabled too. I will merge what you have once I make a fix for the xz side. Thanks for you contributions!', 'score': -0.23721229285001755, 'timestamp': '2023-07-27T13:18:08Z', 'file_name': 'pr_57.csv'}, {'message': 'Hi! Thanks for the PR. Unfortunatly, I do not think this PR solves a problem. I am guessing the issue is with your build setup instead. If you look at `mythread.h`, the functions referenced in your error message are in the `#elif defined(MYTHREAD_POSIX)` block and should be removed by the preprocessor.\n\nIf you are using our `CMakeLists.txt`, then setting `ENABLE_THREADS=OFF` will ensure `MYTHREAD_POSIX` is never added to the compile definitions. Its possible a `make clean` or removing the `CMakeCache.txt` could solve your problem.\n\nCompiling liblzma with WebAssembly sounds like a great project though!', 'score': -0.7127985511906445, 'timestamp': '2023-07-26T14:15:35Z', 'file_name': 'pr_56.csv'}]"
,Jia Tan,"[{'message': 'Thank you for your kind review!\n\nI am honored to contribute to your project!', 'score': 0.99075969948899, 'timestamp': '2023-07-27T13:40:29Z', 'file_name': 'pr_57.csv'}, {'message': 'Thank you! I updated my profile name. I would appreciate it if you could add this name to the THANKS file!', 'score': 0.98224695737008, 'timestamp': '2023-08-01T15:56:21Z', 'file_name': 'pr_57.csv'}]","[{'message': 'Thanks for review!\n\nSorry. The error message I pasted was the wrong one\n\nThis is correct\n```\n  running: ""clang"" ""-O0"" ""-ffunction-sections"" ""-fdata-sections"" ""-fPIC"" ""-g"" ""-fno-omit-frame-pointer"" ""--target=wasm32-wasi"" ""--sysroot"" ""/wasi-sdk-20.0/share/wasi-sysroot"" ""-D_WASI_EMULATED_SIGNAL"" ""-I"" ""xz-5.2/src/liblzma/api"" ""-I"" ""xz-5.2/src/liblzma/lzma"" ""-I"" ""xz-5.2/src/liblzma/lz"" ""-I"" ""xz-5.2/src/liblzma/check"" ""-I"" ""xz-5.2/src/liblzma/simple"" ""-I"" ""xz-5.2/src/liblzma/delta"" ""-I"" ""xz-5.2/src/liblzma/common"" ""-I"" ""xz-5.2/src/liblzma/rangecoder"" ""-I"" ""xz-5.2/src/common"" ""-I"" ""/xz2-rs/lzma-sys"" ""-std=c99"" ""-pthread"" ""-DHAVE_CONFIG_H=1"" ""-o"" ""/xz2-rs/target/wasm32-wasi/debug/build/lzma-sys-7bbeecf3b4119da3/out/xz-5.2/src/liblzma/check/check.o"" ""-c"" ""xz-5.2/src/liblzma/check/check.c""\n  cargo:warning=In file included from xz-5.2/src/liblzma/check/check.c:13:\n  cargo:warning=In file included from xz-5.2/src/liblzma/check/check.h:16:\n  cargo:warning=In file included from xz-5.2/src/liblzma/common/common.h:17:\n  cargo:warning=xz-5.2/src/common/mythread.h:87:33: error: unknown type name \'sigset_t\'\n  cargo:warning=mythread_sigmask(int how, const sigset_t *restrict set,\n  cargo:warning=                                ^\n  cargo:warning=xz-5.2/src/common/mythread.h:88:3: error: unknown type name \'sigset_t\'\n  cargo:warning=                sigset_t *restrict oset)\n  cargo:warning=                ^\n  cargo:warning=xz-5.2/src/common/mythread.h:90:12: warning: call to undeclared function \'sigprocmask\'; ISO C99 and later do not support implicit function declarations [-Wimplicit-function-declaration]\n  cargo:warning=        int ret = sigprocmask(how, set, oset);\n  cargo:warning=                  ^\n  cargo:warning=1 warning and 2 errors generated.\n  exit status: 1\n```', 'score': -0.007666438817977905, 'timestamp': '2023-07-26T14:33:21Z', 'file_name': 'pr_56.csv'}, {'message': ""I am using the latest WASI-SDK.\nWASI is trying to provide a project that provides a POSIX compatible API as WASIX but it seems it's not perfect yet.\n\nThere is no deep meaning in using it via Rust, so if you can use Docker, I think you can reproduce the equivalent environment with the following `Dockerfile`\n\n```dockerfile\nFROM ghcr.io/webassembly/wasi-sdk:latest\n\nRUN apt update && apt install -y git\n\nRUN git clone https://github.com/tukaani-project/xz.git\n\nRUN ./xz/build-aux/ci_build.sh -b cmake -d threads,shared -p all\n\n```\n\n```sh\n$ docker build -t xz .\n```\n\nWASI-SDK can download from https://github.com/WebAssembly/wasi-sdk/releases/tag/wasi-sdk-20"", 'score': -0.1346343792974949, 'timestamp': '2023-07-26T14:56:57Z', 'file_name': 'pr_56.csv'}, {'message': 'It\'s a little redundant description, but how about adding the following changes\n\n`common.h`\n```diff\n-#include ""mythread.h""\n+// If any type of threading is enabled, #include ""mythread.h"".\n+#if defined(MYTHREAD_POSIX) || defined(MYTHREAD_WIN95) \\\n+\t\t|| defined(MYTHREAD_VISTA)\n+#\tinclude ""mythread.h""\n+#endif\n```\n\nI think this will solve 2.', 'score': 0.04207393852993846, 'timestamp': '2023-07-26T15:36:29Z', 'file_name': 'pr_56.csv'}]",[]
Jia Tan,,"[{'message': 'Hi! Thanks for the bug report and PR.\n\nAll of the targets that need to be compiled require C99, so it would be better to just set the CMAKE_C_STANDARD variable at the top of CMakeLists.txt like this:\n\n```\nset(CMAKE_C_STANDARD 99)\n```', 'score': 0.23033889941871166, 'timestamp': '2023-02-27T12:33:26Z', 'file_name': 'pr_42.csv'}]",[],"[{'message': 'The liblzma API headers should be compatible with C89, but the internal headers used by the source code are not. ', 'score': -0.7217811197042465, 'timestamp': '2023-02-27T13:09:18Z', 'file_name': 'pr_42.csv'}]"
,Jia Tan,[],"[{'message': 'Do the headers also require C99 or only the source code?', 'score': -0.02564205415546894, 'timestamp': '2023-02-27T12:40:38Z', 'file_name': 'pr_42.csv'}]",[]
Deleted user,,"[{'message': 'LGTM! :P', 'score': 0.558903347235173, 'timestamp': '2024-03-29T21:44:04Z', 'file_name': 'pr_95.csv'}]",[],[]
,Sam James,[],"[{'message': ""Yes, this PR is bigger than necessary. It's intentional; for issues of this nature, I'd rather purge everything related with a wide margin. Better safe than sorry.\n\nThe bug report tells how to trigger that issue; once the dust settles, it will be easy to rerun the reproduction steps and see if it still crashes, and if yes, someone uninvolved can create a new fix, or revert the revert."", 'score': -0.08413189649581909, 'timestamp': '2024-03-29T22:04:03Z', 'file_name': 'pr_95.csv'}]",[]
Joshua Peisach,,[],[],"[{'message': ""Honestly, might be best to revert all commits in the past 3 months or so, or just find an older tagged version that hasn't probably been force pushed. It's possible that the bad actor modified old commit logs and whatnot"", 'score': -0.465685835108161, 'timestamp': '2024-03-29T22:23:16Z', 'file_name': 'pr_95.csv'}]"
,Marco Köpcke,[],"[{'message': 'It was easier to revert the entire commit than only revert parts of it.\n\nThat entire line is removed in a subsequent commit (1efea8d8ec96676850341532970f90ec9db7d964), so the end result is the same.', 'score': -0.07820648141205311, 'timestamp': '2024-03-29T22:59:21Z', 'file_name': 'pr_95.csv'}]",[]
Jia Tan,,[],"[{'message': 'Hi! Thank you for the bug report, but I will close this bug report because it is a documented feature of XZ Utils. 7zip and XZ Utils are almost completely compatible with how they treat .xz and .lzma files, but here is an example of where they differ.\n\nMy quick maths determined this file has the settings pb = 1, lp = 3, lc = 5, which is unsupported by XZ Utils. XZ Utils will only compress or decompress .lzma and .xz files if lp + lc <=4.\n\nThis is is documented in doc/lzma-file-format.txt (~ line 105 as of 2022-07-13) and src/liblzma/api/lzma/lzma12.h (~ line 280 as of version 5.4.1). I was not part of the project when this decision was made, but my understanding is that files with lc + lp > 4 are unlikely to improve compression significantly and will use a lot more memory and computation time when compressing or decompressing. \n\nSince .lzma has been a legacy format since 2009 and .xz does not support these types of settings, we do not plan to change this. Old .lzma files that have been created with these settings can still be decompressed with 7zip and new files should be using the .xz format anyway.', 'score': -0.004402969032526016, 'timestamp': '2023-01-16T14:23:49Z', 'file_name': 'issue_20.csv'}]",[]
,Jia Tan,"[{'message': 'thanks for your detailed explanation!', 'score': 0.911573906429112, 'timestamp': '2023-01-16T14:34:57Z', 'file_name': 'issue_20.csv'}]",[],[]
