issue_#,state,created_at,updated_at,closed_at,title,body,url,user
112,closed,2024-04-19 14:32:35,2024-06-17 15:28:36,2024-06-17 15:28:36,no_sanitize_address isn't required,"https://tukaani.org/xz-backdoor/review.html discusses the `crc_attr_no_sanitize_address` (i.e. `__attribute__((__no_sanitize_address__))`) in `crc_x86_clmul.h`:

> This attribute is obviously scary but it is unfortunately required with the x86 SIMD code. The code makes aligned 16-byte reads which may read up to 15 bytes before the beginning or past the end of the buffer if the buffer is misaligned. The unneeded bytes are then ignored. It cannot cross page boundaries and thus cannot cause access violations.

Disabling sanitzers is indeed scary. But also, I don't think the disabling is required to use x86 SIMD.

Instead, you can add `crc_simd_body` preconditions that its `buf` and `size` arguments must be 16-byte aligned. Make the callers (`crc32_arch_optimized` and `crc64_arch_optimized`) responsible for the leading/lagging bytes that aren't 16-byte aligned. Out-of-bounds reads are no longer needed.

```diff
diff --git a/src/liblzma/check/crc_x86_clmul.h b/src/liblzma/check/crc_x86_clmul.h
index f1254ece..7ecd16ee 100644
--- a/src/liblzma/check/crc_x86_clmul.h
+++ b/src/liblzma/check/crc_x86_clmul.h
@@ -91,6 +91,9 @@ crc_simd_body(const uint8_t *buf, const size_t size, __m128i *v0, __m128i *v1,
        //     [skip_start][size][skip_end]
        //     [     size2      ]
        //
+       // This code can be simplified. skip_start and skip_end are now always 0,
+       // size is a positive multiple of 16 and size2 = size.
+       //
        // A and D are 16-byte aligned. B and C are 1-byte aligned.
        // skip_start and skip_end are 0-15 bytes. size is at least 1 byte.
        //
@@ -253,6 +256,15 @@ crc32_arch_optimized(const uint8_t *buf, size_t size, uint32_t crc)
                return crc;
 #endif
 
+       // Process any leading bytes (before the 16-byte chunks).
+       crc = ~crc;
+       while (15 & (uintptr_t)buf) {
+               if (size == 0)
+                       return ~crc;
+               crc = lzma_crc32_table[0][*buf++ ^ (crc & 0xFF)] ^ (crc >> 8);
+               --size;
+       }
+
        // uint32_t poly = 0xedb88320;
        const int64_t p = 0x1db710640; // p << 1
        const int64_t mu = 0x1f7011641; // calc_lo(p, p, 32) << 1 | 1
@@ -264,21 +276,34 @@ crc32_arch_optimized(const uint8_t *buf, size_t size, uint32_t crc)
        const __m128i vfold8 = _mm_set_epi64x(0, k5);
        const __m128i vfold16 = _mm_set_epi64x(k4, k3);
 
-       __m128i v0, v1, v2;
+       // Process 16-byte chunks that are 16-byte aligned.
+       size_t size1 = size & 15;
+       size_t size0 = size - size1;
+       if (size0) {
+               __m128i v0, v1, v2;
+
+               crc_simd_body(buf,  size, &v0, &v1, vfold16,
+                               _mm_cvtsi32_si128((int32_t)~crc));
+               buf += size0;
+
+               v1 = _mm_xor_si128(
+                               _mm_clmulepi64_si128(v0, vfold16, 0x10), v1); // xxx0
+               v2 = _mm_shuffle_epi32(v1, 0xe7); // 0xx0
+               v0 = _mm_slli_epi64(v1, 32);  // [0]
+               v0 = _mm_clmulepi64_si128(v0, vfold8, 0x00);
+               v0 = _mm_xor_si128(v0, v2);   // [1] [2]
+               v2 = _mm_clmulepi64_si128(v0, vfold4, 0x10);
+               v2 = _mm_clmulepi64_si128(v2, vfold4, 0x00);
+               v0 = _mm_xor_si128(v0, v2);   // [2]
+               crc = ~(uint32_t)_mm_extract_epi32(v0, 2);
+       }
 
-       crc_simd_body(buf,  size, &v0, &v1, vfold16,
-                       _mm_cvtsi32_si128((int32_t)~crc));
-
-       v1 = _mm_xor_si128(
-                       _mm_clmulepi64_si128(v0, vfold16, 0x10), v1); // xxx0
-       v2 = _mm_shuffle_epi32(v1, 0xe7); // 0xx0
-       v0 = _mm_slli_epi64(v1, 32);  // [0]
-       v0 = _mm_clmulepi64_si128(v0, vfold8, 0x00);
-       v0 = _mm_xor_si128(v0, v2);   // [1] [2]
-       v2 = _mm_clmulepi64_si128(v0, vfold4, 0x10);
-       v2 = _mm_clmulepi64_si128(v2, vfold4, 0x00);
-       v0 = _mm_xor_si128(v0, v2);   // [2]
-       return ~(uint32_t)_mm_extract_epi32(v0, 2);
+       // Process any lagging bytes (after the 16-byte chunks).
+       while (size1--) {
+               crc = lzma_crc32_table[0][*buf++ ^ (crc & 0xFF)] ^ (crc >> 8);
+       }
+
+       return ~crc;
 }
 #endif // BUILDING_CRC32_CLMUL
 
@@ -343,6 +368,8 @@ crc64_arch_optimized(const uint8_t *buf, size_t size, uint64_t crc)
                return crc;
 #endif
 
+       // Ditto.
+
        // const uint64_t poly = 0xc96c5795d7870f42; // CRC polynomial
        const uint64_t p  = 0x92d8af2baf0e1e85; // (poly << 1) | 1
        const uint64_t mu = 0x9c3e466c172963d5; // (calc_lo(poly) << 1) | 1
```",https://github.com/tukaani-project/xz/issues/112,nigeltao
110,closed,2024-04-15 23:58:45,2024-04-17 15:33:25,2024-04-17 15:33:25,Have you changed your pubkey?,"Hello,

Have you changed your key on https://tukaani.org/misc/lasse_collin_pubkey.txt ?

```
>>> Emerging (1 of 2) sec-keys/openpgp-keys-lassecollin-20230213::gentoo
 * Fetching files in the background.
 * To view fetch progress, run in another terminal:
 * tail -f /var/log/emerge-fetch.log
>>> Downloading 'https://mirror.isoc.org.il/pub/gentoo/distfiles/layout.conf'
--2024-04-16 03:45:15--  https://mirror.isoc.org.il/pub/gentoo/distfiles/layout.conf
Resolving mirror.isoc.org.il (mirror.isoc.org.il)... 2a01:4280:2:20::2, 192.115.2.70
Connecting to mirror.isoc.org.il (mirror.isoc.org.il)|2a01:4280:2:20::2|:443... connected.
ERROR: cannot verify mirror.isoc.org.il's certificate, issued by ‘CN=ZeroSSL RSA Domain Secure Site CA,O=ZeroSSL,C=AT’:
  Issued certificate has expired.
To connect to mirror.isoc.org.il insecurely, use `--no-check-certificate'.
!!! Couldn't download '.layout.conf.mirror.isoc.org.il'. Aborting.
>>> Downloading 'https://mirror.isoc.org.il/pub/gentoo/distfiles/openpgp-keys-lassecollin-20230213-lasse_collin_pubkey.txt'
--2024-04-16 03:45:17--  https://mirror.isoc.org.il/pub/gentoo/distfiles/openpgp-keys-lassecollin-20230213-lasse_collin_pubkey.txt
Resolving mirror.isoc.org.il (mirror.isoc.org.il)... 2a01:4280:2:20::2, 192.115.2.70
Connecting to mirror.isoc.org.il (mirror.isoc.org.il)|2a01:4280:2:20::2|:443... connected.
ERROR: cannot verify mirror.isoc.org.il's certificate, issued by ‘CN=ZeroSSL RSA Domain Secure Site CA,O=ZeroSSL,C=AT’:
  Issued certificate has expired.
To connect to mirror.isoc.org.il insecurely, use `--no-check-certificate'.
>>> Downloading 'https://tukaani.org/misc/lasse_collin_pubkey.txt'
--2024-04-16 03:45:19--  https://tukaani.org/misc/lasse_collin_pubkey.txt
Resolving tukaani.org (tukaani.org)... 5.44.245.25
Connecting to tukaani.org (tukaani.org)|5.44.245.25|:443... connected.
HTTP request sent, awaiting response... 200 OK
Length: 3151 (3.1K) [text/plain]
Saving to: ‘/usr/portage/distfiles/openpgp-keys-lassecollin-20230213-lasse_collin_pubkey.txt.__download__’

/usr/portage/distfi 100%[===================>]   3.08K  --.-KB/s    in 0s      

2024-04-16 03:45:20 (1.43 GB/s) - ‘/usr/portage/distfiles/openpgp-keys-lassecollin-20230213-lasse_collin_pubkey.txt.__download__’ saved [3151/3151]

!!! Fetched file: openpgp-keys-lassecollin-20230213-lasse_collin_pubkey.txt VERIFY FAILED!
!!! Reason: Filesize does not match recorded size
!!! Got:      3151
!!! Expected: 4658
Refetching... File renamed to '/usr/portage/distfiles/openpgp-keys-lassecollin-20230213-lasse_collin_pubkey.txt._checksum_failure_.hi7__t65'

!!! Couldn't download 'openpgp-keys-lassecollin-20230213-lasse_collin_pubkey.txt'. Aborting.
 * Fetch failed for 'sec-keys/openpgp-keys-lassecollin-20230213', Log file:
 *  '/var/tmp/portage/sec-keys/openpgp-keys-lassecollin-20230213/temp/build.log'
```",https://github.com/tukaani-project/xz/issues/110,baybal
107,closed,2024-04-12 16:23:35,2024-05-01 18:09:52,2024-05-01 18:08:59,Release 5.7,basically 5.6.1 minus backdoor,https://github.com/tukaani-project/xz/issues/107,erkinalp
105,closed,2024-04-10 13:17:45,2025-01-20 18:07:45,2025-01-18 01:22:47,Enable sponsorship on your repo,"With the recent attention, I'm sure plenty of people will be willing to donate a few dollars to help support you. 

Please enable the ""Sponsor"" feature on your repo : https://docs.github.com/en/sponsors/sponsoring-open-source-contributors/sponsoring-an-open-source-contributor-through-github",https://github.com/tukaani-project/xz/issues/105,kaipee
104,closed,2024-04-10 12:32:19,2024-04-10 13:26:08,2024-04-10 13:26:08,Are versions prior to 5.6.0 guaranteed to be safe?,"Will be installed on Windows x86-64, if it makes any difference.",https://github.com/tukaani-project/xz/issues/104,Paladynee
103,closed,2024-04-09 19:28:19,2024-07-22 01:12:13,2024-05-29 18:46:13,Response to backdoor incident,"A backdoor was [discovered](https://www.openwall.com/lists/oss-security/2024/03/29/4) in xz-5.6.0 and xz-5.6.1 by Andres Freund.

Updates are being posted at https://tukaani.org/xz-backdoor/ and the links at the bottom of the page.

Please be patient while everything is cleaned up. It will take time. In particular, please avoid speculation here which would be better placed in other venues.",https://github.com/tukaani-project/xz/issues/103,thesamesam
102,closed,2024-03-30 00:23:17,2024-05-01 09:47:07,2024-03-30 00:46:52,[Feature Request]: please rewrite this library in rust,"### Describe the Feature

About the backdoor report (https://www.cve.org/CVERecord?id=CVE-2024-3094), an ""easy"" fix to ensure is impossible to happen again is to rewrite xz in rust.

### Expected Complications

- Learning rust
- Regain comunity trust
- Integration with other softwares that depends on xz.

### Will I try to implement this new feature?

No",https://github.com/tukaani-project/xz/issues/102,nullyfae
96,closed,2024-03-29 21:32:59,2024-04-07 17:34:22,2024-04-07 16:59:22,[Feature Request]: Say no to malicious threat actors.,"### Describe the Feature

Remove the compromised part of the xz-utils package. It'd be a great addition for all of us, excluding the threat actors 💯

Check out [this](https://github.com/tukaani-project/xz/pull/95) PR </> 

### Expected Complications

No.

### Will I try to implement this new feature?

No.",https://github.com/tukaani-project/xz/issues/96,luke-beep
94,closed,2024-03-29 19:33:21,2024-04-07 17:00:25,2024-04-07 17:00:25,Security Concerns Regarding Recent Changes in Error Handling Code,"### Describe the bug

Recently, changes were made to the error handling code in the xz utility's libarchive project (reference to the specific MR or commit). While the intention behind these changes may have been to improve error reporting, there are concerns about potential security implications, especially in light of the recent discovery of a backdoor in the xz utility.

Upon reviewing the changes, it appears that safe fprintf calls were replaced with unsafe fprintf calls in the error handling code. This alteration raises concerns about the possibility of introducing vulnerabilities, particularly if terminal escape sequences or other forms of exploitation are inadvertently included in error messages.

Given the sensitivity of the situation and the potential for similar vulnerabilities, I believe it's crucial for the project maintainers to thoroughly assess these changes and ensure that they do not inadvertently introduce security risks. Additionally, considering the recent backdoor discovery, it's important to prioritize the security and integrity of the xz utility.

Proposed Actions:

    Revert the changes made to the error handling code, restoring the use of safe fprintf calls.
    Use archive_errno instead of errno for error handling to mitigate potential risks associated with including terminal escape sequences in error messages.
    Conduct a thorough review of the codebase to identify and address any other potential security concerns.

Additional Context:

    Link to the relevant MR or commit where the changes were made.
    Reference to any discussions or concerns raised by other contributors or community members.
    Any other relevant information or insights that could aid in understanding the issue and its implications.

Request for Response:
I kindly request a response from the project maintainers regarding these security concerns and proposed actions. Transparency and collaboration are essential in addressing potential security vulnerabilities and ensuring the continued trust and reliability of the xz utility.

Thank you for your attention to this matter.

### Version

5.6.0/5.6.1

### Operating System

Linux

### Relevant log output

_No response_",https://github.com/tukaani-project/xz/issues/94,abysssdweller
92,closed,2024-03-29 18:24:13,2024-09-25 08:30:27,2024-04-07 17:32:36,[Bug]: Upstream compromised? Or is the compromise?,"I understand why the author(s) [of the analysis of the backdoor being distributed by this project](https://www.openwall.com/lists/oss-security/2024/03/29/4) decided not to notify upstream first since it looks like either the upstream *is* the compromise or at least are compromised themselves, so reporting here first would have done nothing except give the culprit time to wiggle. But the cat is out of the bag now and I see comments all over the place pinging the author. I think it's high time a bug report *here* notifies people following this tracker there is an issue. Also this serves as a request for a postmortem. Either this project has members that are bad actors or the members have themselves been deeply compromised. Most evidence seems to support the former. If there is evidence of the latter I suggest getting it out there post-haste.",https://github.com/tukaani-project/xz/issues/92,alerque
89,closed,2024-02-27 15:16:41,2024-02-28 10:59:52,2024-02-28 08:21:38,[Bug]: xz: Reduced the number of threads from ... to not exceed the memory usage limit of ... MiB,"### Describe the bug

Since few days I updated to 5.6.0.

When I try to compress text I always get:

```
xz: Reduced the number of threads from 64 to X to not exceed the memory usage limit of .. MiB
```

So to use threads I increased the memory limit around 3GB but still I get the message.

As a POC I did:
```
echo ""a"" > file
for i in {1..64} ; do echo $i ; xz -k -f -z -9 -T $i -M 3000000000 file ; done
```
And I discovered that with `i=3` it reduces threads from `i` to 2

`xz -H` says that `-M` accepts the LIMIT in bytes, so 3000000000 are 3GB of ram.

Is there anything wrong with it or how much ram I'm supposing to give to the process? 




### Version

5.6.0

### Operating System

Gentoo Linux

### Relevant log output

_No response_",https://github.com/tukaani-project/xz/issues/89,asarubbo
88,closed,2024-02-25 14:44:02,2024-03-11 14:37:02,2024-03-11 14:37:01,[Bug]: Compile problem: SYS_landlock_restrict_self is undeclared,"### Describe the bug

    make  all-recursive
    make[1]: Entering directory '/Depot/jjj/xz-5.6.0'
    Making all in src
    make[2]: Entering directory '/Depot/jjj/xz-5.6.0/src'
    Making all in liblzma
    make[3]: Entering directory '/Depot/jjj/xz-5.6.0/src/liblzma'
    Making all in api
    make[4]: Entering directory '/Depot/jjj/xz-5.6.0/src/liblzma/api'
    make[4]: Nothing to be done for 'all'.
    make[4]: Leaving directory '/Depot/jjj/xz-5.6.0/src/liblzma/api'
    make[4]: Entering directory '/Depot/jjj/xz-5.6.0/src/liblzma'
    make[4]: Nothing to be done for 'all-am'.
    make[4]: Leaving directory '/Depot/jjj/xz-5.6.0/src/liblzma'
    make[3]: Leaving directory '/Depot/jjj/xz-5.6.0/src/liblzma'
    Making all in xzdec
    make[3]: Entering directory '/Depot/jjj/xz-5.6.0/src/xzdec'
    gcc -DHAVE_CONFIG_H -I. -I../..  -DTUKLIB_GETTEXT=0 -I../../src/common -I../../src/liblzma/api -I../../lib  -pthread -fvisibility=hidden -Wall -Wextra -Wvla -Wformat=2 -Winit-self -Wmissing-include-dirs -Wshift-overflow=2 -Wstrict-overflow=3 -Walloc-zero -Wduplicated-cond -Wfloat-equal -Wundef -Wshadow -Wpointer-arith -Wbad-function-cast -Wwrite-strings -Wdate-time -Wsign-conversion -Wfloat-conversion -Wlogical-op -Waggregate-return -Wstrict-prototypes -Wold-style-definition -Wmissing-prototypes -Wmissing-declarations -Wredundant-decls -O2 -fPIC -fno-strict-overflow -Wno-error -MT xzdec-xzdec.o -MD -MP -MF .deps/xzdec-xzdec.Tpo -c -o xzdec-xzdec.o `test -f 'xzdec.c'     || echo './'`xzdec.c
    xzdec.c: In function ‘sandbox_enter’:
    xzdec.c:329:36: error: ‘SYS_landlock_create_ruleset’ undeclared (first use in this function)
      329 |         int landlock_abi = syscall(SYS_landlock_create_ruleset,
          |                                    ^~~~~~~~~~~~~~~~~~~~~~~~~~~
    xzdec.c:329:36: note: each undeclared identifier is reported only once for each function it appears in
    xzdec.c:349:29: error: ‘SYS_landlock_restrict_self’ undeclared (first use in this function)
      349 |                 if (syscall(SYS_landlock_restrict_self, ruleset_fd, 0U) != 0)
          |                             ^~~~~~~~~~~~~~~~~~~~~~~~~~
    make[3]: *** [Makefile:606: xzdec-xzdec.o] Error 1
    make[3]: Leaving directory '/Depot/jjj/xz-5.6.0/src/xzdec'
    make[2]: *** [Makefile:427: all-recursive] Error 1
    make[2]: Leaving directory '/Depot/jjj/xz-5.6.0/src'
    make[1]: *** [Makefile:597: all-recursive] Error 1
    make[1]: Leaving directory '/Depot/jjj/xz-5.6.0'
    make: *** [Makefile:487: all] Error 2


I can compile older xz releases fine by the way, on the same system, so 5.4.x, 
5.2.x. Not sure what changed.

My system is a custom built slackware; I recompiled most
things from source following mostly LFS/BLFS instructions.
xz 5.6.x is not yet appearing on LFS, so I just poke in the
dark here really.

glibc is 2.33, gcc is 11.4.0.

### Version

5.6.0

### Operating System

linux

### Relevant log output

_No response_",https://github.com/tukaani-project/xz/issues/88,rubyFeedback
85,closed,2024-02-24 16:59:20,2024-02-25 14:19:57,2024-02-25 14:19:57,[Bug?]: Default option. Non determinism in multithreads?,"Well. Not really a bug, but perhaps more a question of default and helpful information.
Please correct me if I'm wrong here.
I've always lived with the assumption that using xz with more than one thread isn't deterministic.
Ie, the compression result will vary with threads?
By changing the default, various usages will start to perhaps experience different results when building on different machines.
Like packagers, embedded build envs etc.

Has anything changed in the determinism department or can users just expect that default is to create variable results with the defaults?

### Version

5.6

### Operating System

Linux

### Relevant log output

_No response_",https://github.com/tukaani-project/xz/issues/85,milkylainen
84,closed,2024-02-24 16:21:05,2024-02-26 12:02:10,2024-02-25 02:52:43,[Bug]:  5.6.0 build issue,"### Describe the bug

Fails to build on armv7l. built with `--enable-shared`


### Version

5.6.0

### Operating System

ChromeOS, M91

### Relevant log output

```shell
make  all-recursive
make[1]: Entering directory '/usr/local/tmp/crew/xzutils.20240224160935.dir/xz-5.6.0'
Making all in src
make[2]: Entering directory '/usr/local/tmp/crew/xzutils.20240224160935.dir/xz-5.6.0/src'
Making all in liblzma
make[3]: Entering directory '/usr/local/tmp/crew/xzutils.20240224160935.dir/xz-5.6.0/src/liblzma'
Making all in api
make[4]: Entering directory '/usr/local/tmp/crew/xzutils.20240224160935.dir/xz-5.6.0/src/liblzma/api'
make[4]: Nothing to be done for 'all'.
make[4]: Leaving directory '/usr/local/tmp/crew/xzutils.20240224160935.dir/xz-5.6.0/src/liblzma/api'
make[4]: Entering directory '/usr/local/tmp/crew/xzutils.20240224160935.dir/xz-5.6.0/src/liblzma'
make[4]: Nothing to be done for 'all-am'.
make[4]: Leaving directory '/usr/local/tmp/crew/xzutils.20240224160935.dir/xz-5.6.0/src/liblzma'
make[3]: Leaving directory '/usr/local/tmp/crew/xzutils.20240224160935.dir/xz-5.6.0/src/liblzma'
Making all in xzdec
make[3]: Entering directory '/usr/local/tmp/crew/xzutils.20240224160935.dir/xz-5.6.0/src/xzdec'
armv7l-cros-linux-gnueabihf-gcc -DHAVE_CONFIG_H -I. -I../..  -DTUKLIB_GETTEXT=0 -I../../src/common -I../../src/liblzma/api -I../../lib  -pthread -fvisibility=hidden -Wall -Wextra -Wvla -Wformat=2 -Winit-self -Wmissing-include-dirs -Wshift-overflow=2 -Wstrict-overflow=3 -Walloc-zero -Wduplicated-cond -Wfloat-equal -Wundef -Wshadow -Wpointer-arith -Wbad-function-cast -Wwrite-strings -Wdate-time -Wsign-conversion -Wfloat-conversion -Wlogical-op -Waggregate-return -Wstrict-prototypes -Wold-style-definition -Wmissing-prototypes -Wmissing-declarations -Wredundant-decls -O2 -pipe -ffat-lto-objects -fPIC -mfloat-abi=hard -mthumb -mfpu=vfpv3-d16 -march=armv7-a+fp -fuse-ld=mold  -flto=auto -c -o xzdec-xzdec.o `test -f 'xzdec.c' || echo './'`xzdec.c
xzdec.c: In function ‘sandbox_enter’:
xzdec.c:329:36: error: ‘SYS_landlock_create_ruleset’ undeclared (first use in this function)
  329 |         int landlock_abi = syscall(SYS_landlock_create_ruleset,
      |                                    ^~~~~~~~~~~~~~~~~~~~~~~~~~~
xzdec.c:329:36: note: each undeclared identifier is reported only once for each function it appears in
xzdec.c:349:29: error: ‘SYS_landlock_restrict_self’ undeclared (first use in this function)
  349 |                 if (syscall(SYS_landlock_restrict_self, ruleset_fd, 0U) != 0)
      |                             ^~~~~~~~~~~~~~~~~~~~~~~~~~
make[3]: *** [Makefile:610: xzdec-xzdec.o] Error 1
make[3]: Leaving directory '/usr/local/tmp/crew/xzutils.20240224160935.dir/xz-5.6.0/src/xzdec'
make[2]: *** [Makefile:427: all-recursive] Error 1
make[2]: Leaving directory '/usr/local/tmp/crew/xzutils.20240224160935.dir/xz-5.6.0/src'
make[1]: *** [Makefile:597: all-recursive] Error 1
make[1]: Leaving directory '/usr/local/tmp/crew/xzutils.20240224160935.dir/xz-5.6.0'
make: *** [Makefile:487: all] Error 2
There was a build error.
```",https://github.com/tukaani-project/xz/issues/84,satmandu
83,open,2024-02-24 14:53:11,2024-04-17 22:37:29,,[Feature Request]: Is there a real-world benchmark for xz?,"### Describe the Feature

A makefile target that downloads adequate data to run a real-world benchmark (compression and decompression). Or something similar.

### Expected Complications

_No response_

### Will I try to implement this new feature?

No",https://github.com/tukaani-project/xz/issues/83,svenha
